"","stimulus","Response (lexical_decision)","RT (lexical_decision)","N"
"1","adnure","no",78,0
"2","adverd","no",79,2
"3","balros","no",80,0
"4","baral","no",77,2
"5","barlit","no",79,0
"6","braln","no",78,1
"7","broit","no",78,2
"8","camina","no",77,0
"9","carsel","no",83,2
"10","cheros","no",82,1
"11","chotin","no",78,0
"12","clirt","no",76,1
"13","colit","no",79,0
"14","craip","no",78,1
"15","crint","no",78,1
"16","curton","no",79,1
"17","derans","no",83,0
"18","doaly","no",78,2
"19","dorel","no",78,2
"20","dovis","no",77,0
"21","drint","no",79,3
"22","durate","no",81,2
"23","eriton","no",78,1
"24","eronts","no",79,1
"25","esporn","no",76,0
"26","fadroc","yes",94,0
"27","falone","no",81,0
"28","fatina","no",89,2
"29","febric","yes",67,2
"30","fibron","no",77,1
"31","flean","no",79,3
"32","fonate","no",80,1
"33","forne","no",81,3
"34","forver","no",82,2
"35","frared","no",86,3
"36","froct","no",78,3
"37","fronge","no",80,1
"38","frope","no",80,2
"39","garter","no",83,3
"40","gitten","no",78,3
"41","glimon","no",76,0
"42","gorch","no",76,1
"43","grolt","no",78,2
"44","gruit","no",78,3
"45","halmer","no",81,2
"46","heawed","no",84,3
"47","herky","no",78,2
"48","inomy","yes",87,0
"49","insate","no",81,3
"50","intide","no",80,1
"51","intode","no",79,1
"52","kappur","no",74,0
"53","kirda","yes",71,0
"54","levon","yes",84,1
"55","loran","no",78,0
"56","lorit","no",78,0
"57","mardol","no",77,0
"58","marils","no",82,1
"59","martal","no",80,1
"60","maver","no",80,3
"61","millet","no",81,3
"62","mirsh","yes",79,2
"63","moint","no",79,3
"64","munce","no",77,3
"65","natem","no",76,0
"66","nicket","no",78,3
"67","nogal","no",76,1
"68","norsh","yes",69,1
"69","oaping","no",84,2
"70","opuna","no",74,0
"71","ortin","no",77,0
"72","paman","no",77,2
"73","pavio","yes",71,1
"74","peich","no",77,2
"75","pipple","no",79,3
"76","pleach","no",80,2
"77","plosk","no",76,0
"78","poler","no",81,3
"79","prade","no",82,3
"80","proin","no",79,1
"81","punger","no",80,1
"82","purds","no",79,0
"83","ramin","no",79,1
"84","randle","no",81,3
"85","rhore","no",80,3
"86","rodis","no",79,0
"87","roined","no",86,3
"88","rolch","no",76,1
"89","ruxot","no",75,0
"90","sanned","no",86,3
"91","sarch","no",77,3
"92","scond","no",79,1
"93","shist","no",81,3
"94","shump","no",78,3
"95","skide","no",82,1
"96","skorp","no",76,0
"97","slome","no",82,2
"98","slote","no",83,3
"99","soims","no",82,2
"100","songe","no",81,2
"101","sorve","no",81,2
"102","sripe","no",82,3
"103","srobe","no",80,1
"104","straft","no",81,2
"105","talgon","no",78,0
"106","tamal","no",76,0
"107","tarpot","no",80,1
"108","timud","yes",80,2
"109","toler","no",80,1
"110","tortle","no",81,2
"111","tring","no",83,3
"112","troise","no",82,0
"113","turve","no",78,2
"114","umpore","no",78,0
"115","urpest","no",79,1
"116","vuctor","no",76,2
"117","waider","no",83,2
"118","walley","no",81,3
"119","wirmer","no",79,2
"120","yocket","no",76,3
